全回答数,直近30日間の回答数,前の30日間の回答数,伸び率（対前月）,石川県の回答数順位,石川県の回答数順位(直近30日間),商品・サービス満足度,商品・サービス満足度(直近30日間),施設全体満足度,施設全体満足度(直近30日間),旅全体満足度,旅全体満足度(直近30日間),施設の推奨度,推奨者数,非推奨者数,NPS,推奨者数(直近30日間),非推奨者数(直近30日間),NPS(直近30日間),10代,20代,30代,40代,50代,60代,70代,80代,90代,100代,男性,女性,1泊,2泊,3泊,4泊以上,日帰り,自分ひとり,恋人,友人,夫婦2人,団体旅行,親戚,親,職場の同僚,小学生以下連れの家族,中学生以下連れの家族,高校生連れの家族,災害支援,宿でのんびり過ごす,温泉や露天風呂,地元の美味しいものを食べる,花見や紅葉などの自然鑑賞,名所、旧跡の観光,テーマパーク（遊園地、動物園、博物館など）,買い物、アウトレット,お祭りやイベントへの参加・見物,スポーツ観戦や芸能鑑賞（コンサート等）,アウトドア（海水浴、釣り、登山など）,まちあるき、都市散策,各種体験（手作り、果物狩りなど）,スキー・スノボ、マリンスポーツ,その他スポーツ（ゴルフ、テニスなど）,ドライブ・ツーリング,友人・親戚を尋ねる,出張など仕事関係
52,3,2,0.5,44,30,4.431818182,5,4.581395349,5,4.368421053,5,8.5,27,4,0.442307692,2,0,0.666666667,0,0.096153846,0.192307692,0.326923077,0.25,0.096153846,0.019230769,0.019230769,0,0,0.730769231,0.192307692,0.557692308,0.211538462,0.057692308,0.173076923,0,0.384615385,0.057692308,0.057692308,0.057692308,0.019230769,0,0.038461538,0.192307692,0.076923077,0.019230769,0,0,0.096153846,0.019230769,0.173076923,0.019230769,0,0,0,0.076923077,0,0,0,0,0,0,0,0,0.461538462
81,0,0,,31,54,4.372881356,,4.271186441,,4.517241379,,7.320987654,24,26,-0.024691358,0,0,,0.012345679,0.185185185,0.271604938,0.135802469,0.222222222,0.12345679,0.024691358,0.024691358,0,0,0.419753086,0.580246914,0.641975309,0.271604938,0.061728395,0.024691358,0,0.024691358,0.172839506,0.098765432,0.320987654,0.049382716,0,0.12345679,0,0.135802469,0.024691358,0,0,0.567901235,0.839506173,0.703703704,0.074074074,0,0,0,0,0,0,0,0,0,0,0.012345679,0,0
31,0,0,,61,55,4.689655172,,4.655172414,,4.555555556,,9.064516129,21,1,0.64516129,0,0,,0,0.096774194,0.161290323,0.161290323,0.387096774,0.161290323,0.032258065,0,0,0,0.387096774,0.580645161,0.258064516,0.129032258,0.032258065,0.032258065,0.548387097,0.161290323,0.064516129,0.193548387,0.322580645,0.032258065,0,0.129032258,0,0.064516129,0,0,0,0.129032258,0.838709677,0.419354839,0.032258065,0,0,0,0.032258065,0,0,0,0,0,0,0.032258065,0,0.032258065
34,4,4,0,57,26,4.333333333,4.25,4.5,3.25,4.379310345,4.75,7.941176471,18,8,0.294117647,2,2,0,0,0.147058824,0.088235294,0.352941177,0.176470588,0.205882353,0.029411765,0,0,0,0.294117647,0.617647059,0.264705882,0.264705882,0.088235294,0.205882353,0.176470588,0.264705882,0.088235294,0.029411765,0.382352941,0,0,0.029411765,0,0.147058824,0.058823529,0,0,0.058823529,0.235294118,0.382352941,0.029411765,0,0,0,0.264705882,0,0,0,0,0,0,0.176470588,0,0.088235294
56,0,0,,41,56,4.450980392,,4.490566038,,4.547169811,,8.089285714,30,9,0.375,0,0,,0,0.071428571,0.107142857,0.267857143,0.142857143,0.267857143,0.142857143,0,0,0,0.375,0.571428571,0.785714286,0.142857143,0.053571429,0.017857143,0,0.142857143,0,0.071428571,0.357142857,0.017857143,0.017857143,0.125,0.017857143,0.125,0.089285714,0,0,0.678571429,0.803571429,0.5,0.017857143,0,0,0,0,0,0,0,0,0,0,0,0,0
36,3,1,2,53,31,4.352941176,2.666666667,4.466666667,1.333333333,4.457142857,3,7.666666667,14,10,0.111111111,0,3,-1,0.027777778,0.111111111,0.416666667,0.166666667,0.166666667,0.111111111,0,0,0,0,0.277777778,0.694444444,0.555555556,0.111111111,0.138888889,0.055555556,0.138888889,0.055555556,0.083333333,0,0.25,0.027777778,0,0.055555556,0,0.388888889,0.083333333,0,0,0.444444444,0.527777778,0.444444444,0.083333333,0,0,0,0.027777778,0,0,0,0,0,0,0.083333333,0,0.027777778
52,0,0,,45,57,4.5625,,4.574468085,,4.549019608,,8.403846154,24,5,0.365384615,0,0,,0.019230769,0.134615385,0.211538462,0.153846154,0.288461539,0.115384615,0.076923077,0,0,0,0.384615385,0.576923077,0.480769231,0.288461539,0.057692308,0.096153846,0.076923077,0.173076923,0.115384615,0.019230769,0.230769231,0.019230769,0,0.115384615,0.019230769,0.153846154,0,0,0,0.5,0.826923077,0.673076923,0.038461538,0,0,0,0.019230769,0,0,0,0,0,0,0.019230769,0,0.038461538
182,13,9,0.444444444,17,12,4.37037037,3.692307692,4.402439024,4.153846154,4.386363636,4.230769231,8.043956044,82,27,0.302197802,7,1,0.461538462,0,0.016483516,0.054945055,0.043956044,0.203296703,0.521978022,0.159340659,0,0,0,0.494505495,0.434065934,0.269230769,0.43956044,0.186813187,0.104395604,0,0.021978022,0.005494505,0.054945055,0.615384615,0,0.010989011,0.076923077,0.005494505,0.098901099,0.021978022,0,0,0.516483517,0.769230769,0.565934066,0.115384615,0,0,0,0.021978022,0,0,0,0,0,0,0.054945055,0,0.005494505
33,0,0,,59,58,4.606060606,,4.5625,,4.575757576,,9.03030303,21,0,0.636363636,0,0,,0,0.090909091,0.151515152,0.181818182,0.363636364,0.212121212,0,0,0,0,0.424242424,0.575757576,0.666666667,0.303030303,0.03030303,0,0,0.03030303,0,0,0.393939394,0,0,0.333333333,0,0.060606061,0,0,0,0.757575758,0.727272727,0.636363636,0.090909091,0,0,0,0.060606061,0,0,0,0,0,0,0,0,0
139,16,3,4.333333333,18,11,4.438016529,3.875,4.429752066,3.875,4.470149254,4.5625,8.194244604,69,21,0.345323741,8,3,0.3125,0.007194245,0.151079137,0.18705036,0.158273381,0.179856115,0.251798561,0.064748201,0,0,0,0.338129496,0.64028777,0.611510791,0.179856115,0.107913669,0.086330935,0.014388489,0.021582734,0.079136691,0.079136691,0.438848921,0.014388489,0.014388489,0.158273381,0.014388489,0.107913669,0.007194245,0,0,0.654676259,0.856115108,0.532374101,0.086330935,0,0,0,0.014388489,0,0,0,0,0,0,0.035971223,0,0.007194245
34,0,0,,58,59,4.7,,4.625,,4.515151515,,8.235294118,18,6,0.352941177,0,0,,0.029411765,0.029411765,0.176470588,0.117647059,0.470588235,0.117647059,0,0.058823529,0,0,0.441176471,0.558823529,0.470588235,0.294117647,0.088235294,0.147058824,0,0.205882353,0.088235294,0,0.264705882,0,0,0.117647059,0.088235294,0.088235294,0,0,0,0.147058824,0.176470588,0.235294118,0,0,0,0,0.029411765,0,0,0,0,0,0,0.088235294,0,0.323529412
35,0,0,,55,60,4.4375,,4.5,,4.470588235,,8.028571429,19,7,0.342857143,0,0,,0,0.114285714,0.257142857,0.171428571,0.171428571,0.2,0.085714286,0,0,0,0.342857143,0.657142857,0.6,0.2,0.142857143,0,0.057142857,0.028571429,0.085714286,0.114285714,0.2,0,0,0.2,0,0.314285714,0.028571429,0,0,0.714285714,0.828571429,0.571428571,0.171428571,0,0,0,0,0,0,0,0,0,0,0,0,0
83,83,0,,29,2,4.547945205,4,4.474358974,4.204819277,4.569620253,4.34939759,8.168674699,40,11,0.34939759,40,11,0.34939759,0.036144578,0.096385542,0.385542169,0.265060241,0.144578313,0.060240964,0.012048193,0,0,0,0.493975904,0.493975904,0.120481928,0.277108434,0.048192771,0.156626506,0.397590361,0.060240964,0.048192771,0.024096386,0.060240964,0,0,0.048192771,0.024096386,0.662650602,0,0,0,0.096385542,0.156626506,0.337349398,0.036144578,0,0,0,0.060240964,0,0,0,0,0,0,0.048192771,0,0.048192771
57,12,8,0.5,40,14,4.2,3.416666667,4.266666667,3.583333333,4.705882353,4.666666667,8.375,29,9,0.350877193,8,2,0.5,0,0.192982456,0.210526316,0.228070175,0.228070175,0.122807018,0.01754386,0,0,0,0.456140351,0.49122807,0.228070175,0.315789474,0.087719298,0.263157895,0.105263158,0.228070175,0.070175439,0.210526316,0.210526316,0.052631579,0,0.052631579,0.035087719,0.070175439,0.01754386,0,0,0.140350877,0.245614035,0.561403509,0.070175439,0,0,0,0.157894737,0,0,0,0,0,0,0.01754386,0,0.105263158
